salesid,gamename,platform,year_of_release,genre,developer,na_sales,eu_sales,jp_sales,other_sales,global_sales,salesyear
71,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,1.44,2.02,0.75,0.01,4.22,2020
72,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,0.79,0.42,2.57,0.99,4.77,2006
73,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,0.74,2.51,1,0.01,4.26,2010
74,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,0.35,1.11,0.5,0.01,1.97,2016
75,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,2.45,1.91,1.91,0.01,6.28,2010
76,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,1.3,0.41,2.11,0.01,3.8299999999999996,2016
77,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,0.27,0.01,0.97,0.01,1.26,2019
78,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,2.43,2.03,0.23,0.5,5.19,2020
79,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,8.92,0.35,0.01,0.24,9.52,2012
80,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,0.01,1.47,0.01,0.55,2.04,2013
81,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,0.01,1.31,0.01,0.01,1.34,2015
82,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,0.01,0.83,0.01,0.01,0.86,2017
83,Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,4.2,0.33,0.36,0.01,4.9,1999
84,Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,0.45,3.98,1.71,0.01,6.1499999999999995,2014
85,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,5.41,1.04,0.01,0.37,6.83,2016
86,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,0.01,1.97,0.01,1.93,3.92,2018
87,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,0.01,1.72,0.01,0.01,1.75,2020
88,Call of Duty: Black Ops,X360,2010,Shooter,Activision,0.12,2.68,0.01,0.66,3.47,2012
89,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,1.96,3.73,0.27,0.01,5.969999999999999,2014
90,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,1.92,0.01,3.13,0.01,5.069999999999999,2018
91,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,0.95,0.01,0.01,0.01,0.98,2021
92,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,1.21,0.13,0.01,0.51,1.8599999999999999,2017
93,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,2.15,2.94,0.01,0.05,5.1499999999999995,2014
94,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,2.97,0.56,0.01,0.19,3.73,2017
95,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,2.53,0.01,0.01,0.01,2.559999999999999,2018
96,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,7.23,1.65,0.01,0.06,8.950000000000001,2010
97,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,0.14,0.34,0.01,0.62,1.11,2014
98,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,0.24,0.36,0.01,0.01,0.62,2017
99,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,0.01,0.82,0.01,0.01,0.85,2019
100,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,1.65,2.19,0.01,0.25,4.1,2019
101,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.97,0.51,0.01,0.75,8.239999999999998,2017
102,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,0.7,1.91,0.84,0.24,3.6899999999999995,2011
103,Mario Kart 7,3DS,2011,Racing,Nintendo,0.52,0.81,0.26,0.01,1.6,2013
104,Mario Kart 7,3DS,2011,Racing,Nintendo,2.22,0.14,1.47,0.01,3.84,2014
105,Mario Kart 7,3DS,2011,Racing,Nintendo,2,0.01,0.01,0.01,2.0299999999999994,2019
106,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.94,2.57,0.01,0.54,9.059999999999999,2010
107,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,0.01,0.61,0.01,0.72,1.35,2016
108,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,0.01,0.87,0.01,0.01,0.9,2019
109,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,2.46,0.94,0.01,0.72,4.13,2014
110,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,0.22,3.14,0.01,0.75,4.12,2016
111,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,0.83,1.59,0.01,0.01,2.4399999999999995,2019
112,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,1.25,1.07,3.88,0.01,6.21,2005
113,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,0.52,1.03,0.1,0.01,1.6600000000000001,2012
114,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,0.01,0.39,0.31,0.01,0.72,2013
115,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,0.01,0.01,0.11,0.01,0.14,2019
116,Halo 3,X360,2007,Shooter,Microsoft Game Studios,4.64,1.35,0.01,0.25,6.25,2007
117,Halo 3,X360,2007,Shooter,Microsoft Game Studios,1.57,0.23,0.01,0.01,1.82,2011
118,Halo 3,X360,2007,Shooter,Microsoft Game Studios,0.04,0.62,0.01,0.01,0.68,2013
119,Halo 3,X360,2007,Shooter,Microsoft Game Studios,0.62,0.01,0.01,0.01,0.65,2016
121,Super Mario 64,N64,1996,Platform,Nintendo,0.19,0.68,0.94,0.01,1.82,2005
122,Super Mario 64,N64,1996,Platform,Nintendo,0.11,0.52,0.01,0.01,0.65,2011
123,Super Mario 64,N64,1996,Platform,Nintendo,0.61,0.76,0.01,0.01,1.3900000000000001,2019
124,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,0.9,1.53,2.76,0.01,5.199999999999999,2011
125,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,1.32,0.93,0.63,0.01,2.8899999999999997,2017
126,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,0.03,0.68,1.29,0.01,2.01,2015
127,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,2.58,0.95,0.62,0.01,4.16,2016
128,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,0.53,0.51,0.06,0.01,1.11,2018
129,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,1.35,0.01,0.17,0.85,2.38,2007
130,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,0.04,0.01,0.01,4.63,4.6899999999999995,2015
131,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,0.98,0.01,0.01,0.63,1.63,2020
132,Super Mario Galaxy,Wii,2007,Platform,Nintendo,2.68,1.22,0.37,0.01,4.28,2007
133,Super Mario Galaxy,Wii,2007,Platform,Nintendo,2.84,0.05,0.01,0.01,2.9099999999999993,2018
134,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,2.05,1.35,0.06,0.01,3.4699999999999998,2001
135,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,0.51,0.01,1.7,0.01,2.2299999999999995,2007
136,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,0.99,0.01,0.01,0.01,1.02,2016
137,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,0.89,0.57,0.01,0.68,2.15,2010
138,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,3.7,1.91,0.01,0.01,5.63,2012
139,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,1.6,0.01,0.01,0.01,1.6300000000000001,2014
140,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,0.01,0.01,0.01,0.01,0.04,2018
141,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,3.28,0.51,0.65,0.01,4.45,2000
142,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,0.01,1.58,0.05,0.01,1.6500000000000001,2007
143,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,0.01,0.19,0.59,0.01,0.8,2020
144,Super Mario 3D Land,3DS,2011,Platform,Nintendo,3.61,1.03,0.64,0.01,5.289999999999999,2011
145,Super Mario 3D Land,3DS,2011,Platform,Nintendo,0.6,0.25,0.16,0.01,1.02,2014
146,Super Mario 3D Land,3DS,2011,Platform,Nintendo,0.01,0.2,0.31,0.01,0.53,2015
147,Super Mario 3D Land,3DS,2011,Platform,Nintendo,0.01,0.41,0.4,0.01,0.8300000000000001,2018
148,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,0.66,1.52,0.01,1.19,3.38,2021
149,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,1.62,1.24,0.01,0.76,3.63,2009
150,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,1.55,1.34,0.01,0.01,2.9099999999999997,2018
151,Super Mario All-Stars,SNES,1993,Platform,Nintendo,4.07,1.46,0.52,0.01,6.0600000000000005,1993
152,Super Mario All-Stars,SNES,1993,Platform,Nintendo,0.71,0.01,0.87,0.01,1.5999999999999999,2000
153,Super Mario All-Stars,SNES,1993,Platform,Nintendo,0.65,0.01,0.01,0.01,0.68,2013
154,Super Mario All-Stars,SNES,1993,Platform,Nintendo,0.01,0.01,0.01,0.01,0.04,2018
155,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,2.47,0.66,0.01,0.47,3.6100000000000003,2010
156,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,1.56,0.42,0.01,0.12,2.11,2013
157,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,0.01,0.81,0.01,0.82,1.65,2014
158,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,0.01,0.43,0.01,0.01,0.46,2018
159,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,3.24,1.79,0.42,0.01,5.46,2005
160,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,0.2,0.01,1.52,0.01,1.74,2010
161,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,0.01,0.01,0.28,0.01,0.31000000000000005,2014
162,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,0.01,0.01,0.01,0.01,0.04,2017
163,Super Mario 64,DS,2004,Platform,Nintendo,0.67,0.67,0.52,0.01,1.87,2004
164,Super Mario 64,DS,2004,Platform,Nintendo,2.51,1.14,0.01,0.01,3.669999999999999,2015
165,Super Mario 64,DS,2004,Platform,Nintendo,0.88,0.04,0.01,0.01,0.9400000000000001,2019
166,Call of Duty: Ghosts,X360,2013,Shooter,Activision,5.14,0.53,0.01,0.01,5.6899999999999995,2019
167,Just Dance 3,Wii,2011,Misc,Ubisoft,1.13,1.49,0.01,0.02,2.65,2011
168,Just Dance 3,Wii,2011,Misc,Ubisoft,1.28,0.83,0.01,0.27,2.3899999999999997,2014
169,Just Dance 3,Wii,2011,Misc,Ubisoft,0.65,0.01,0.01,0.01,0.68,2016
170,Just Dance 3,Wii,2011,Misc,Ubisoft,1.41,0.01,0.01,0.01,1.44,2017
171,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,1.2,2.04,1.68,0.01,4.93,2013
172,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,1.92,0.61,0.01,0.01,2.5499999999999994,2014
173,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,0.01,0.01,0.01,0.01,0.04,2016
174,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,0.01,0.01,0.01,0.01,0.04,2018
175,Mario Kart 64,N64,1996,Racing,Nintendo,3.8,0.29,0.64,0.01,4.739999999999999,1996
176,Mario Kart 64,N64,1996,Racing,Nintendo,0.66,0.18,0.08,0.01,0.93,2007
177,Mario Kart 64,N64,1996,Racing,Nintendo,0.39,0.42,0.45,0.01,1.27,2016
178,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,6.68,0.23,0.01,0.01,6.93,2010
179,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,0.01,0.63,0.01,0.01,0.66,2020
298,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,0.12,0.01,0.01,0.01,0.15000000000000002,2009
180,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,2.43,1.84,0.88,0.01,5.16,1999
181,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,0.01,0.01,1.61,0.01,1.6400000000000001,2006
182,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,0.01,0.01,0.01,0.01,0.04,2010
183,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,0.01,0.01,0.01,0.01,0.04,2017
184,Halo 4,X360,2012,Shooter,Microsoft Game Studios,0.48,1.68,0.01,0.01,2.1799999999999997,2013
185,Halo 4,X360,2012,Shooter,Microsoft Game Studios,0.08,0.01,0.01,0.01,0.10999999999999999,2015
186,Halo 4,X360,2012,Shooter,Microsoft Game Studios,5.49,0.01,0.01,0.01,5.52,2017
187,Halo 4,X360,2012,Shooter,Microsoft Game Studios,0.01,0.01,0.01,0.01,0.04,2018
188,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,0.24,1.67,0.45,0.01,2.3699999999999997,2021
189,Just Dance 2,Wii,2010,Misc,Ubisoft,4.75,1.56,0.01,0.01,6.33,2011
190,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,0.22,2.87,0.01,0.72,3.8200000000000003,2014
191,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,0.67,0.01,0.01,0.01,0.7000000000000001,2015
192,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,0.59,0.01,0.01,0.01,0.62,2018
193,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,1.06,0.01,0.01,0.01,1.09,2020
194,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,2.67,1.64,0.01,0.01,4.329999999999999,2010
195,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,0.84,0.01,0.01,0.01,0.87,2018
196,Donkey Kong Country,SNES,1994,Platform,Nintendo,0.65,0.16,2.28,0.01,3.0999999999999996,1997
197,Minecraft,X360,2013,Misc,Microsoft Game Studios,2.57,1.32,0.01,0.01,3.9099999999999993,2015
198,Minecraft,X360,2013,Misc,Microsoft Game Studios,2,0.25,0.01,0.01,2.2699999999999996,2017
199,Minecraft,X360,2013,Misc,Microsoft Game Studios,0.51,0.55,0.01,0.01,1.08,2021
200,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,0.54,0.91,0.7,0.01,2.16,2014
201,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,0.29,0.64,0.5,0.01,1.44,2020
202,Mario Party DS,DS,2007,Misc,Nintendo,1.62,0.27,0.9,0.01,2.8,2007
203,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,0.75,1.79,0.01,0.01,2.5599999999999996,2016
204,Super Mario Kart,SNES,1992,Racing,Nintendo,0.84,0.77,2.25,0.01,3.8699999999999997,1997
205,Super Mario Kart,SNES,1992,Racing,Nintendo,0.84,0.01,0.88,0.01,1.74,2011
206,Super Mario Kart,SNES,1992,Racing,Nintendo,0.58,0.01,0.01,0.01,0.61,2018
207,FIFA 16,PS4,2015,Sports,Electronic Arts,0.77,5.03,0.01,0.33,6.140000000000001,2016
208,Halo 2,XB,2004,Shooter,Microsoft Game Studios,1.53,0.41,0.01,0.01,1.96,2005
209,Halo 2,XB,2004,Shooter,Microsoft Game Studios,0.05,0.55,0.01,0.01,0.6200000000000001,2009
210,Halo 2,XB,2004,Shooter,Microsoft Game Studios,1.13,0.01,0.01,0.01,1.16,2014
211,Halo 2,XB,2004,Shooter,Microsoft Game Studios,1.68,0.01,0.01,0.01,1.71,2018
212,Wii Party,Wii,2010,Misc,Nintendo,0.37,0.47,1.74,0.01,2.59,2016
213,Mario Party 8,Wii,2007,Misc,Nintendo,2.52,1.37,0.81,0.01,4.71,2007
214,Mario Party 8,Wii,2007,Misc,Nintendo,0.64,0.01,0.01,0.01,0.67,2015
215,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,0.08,3.14,0.01,0.56,3.79,2014
216,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,0.01,0.61,0.01,0.87,1.5,2015
217,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,0.01,0.7,0.01,0.01,0.73,2018
218,GoldenEye 007,N64,1997,Shooter,Nintendo,4.31,0.42,0.01,0.01,4.749999999999999,1997
219,GoldenEye 007,N64,1997,Shooter,Nintendo,0.31,0.47,0.01,0.01,0.8,2012
220,GoldenEye 007,N64,1997,Shooter,Nintendo,0.78,0.9,0.01,0.01,1.7000000000000002,2019
221,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,1.56,0.78,1.27,0.01,3.6199999999999997,2013
222,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,0.36,0.01,0.63,0.01,1.01,2016
223,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,0.01,0.01,0.71,0.01,0.74,2018
224,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,0.94,0.37,1.7,0.01,3.0199999999999996,2003
225,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,0.2,0.15,0.02,0.01,0.38,2007
226,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,0.99,1.01,0.93,0.01,2.94,2014
227,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,0.01,0.01,0.01,0.01,0.04,2018
228,The Sims 3,PC,2009,Simulation,Electronic Arts,0.52,3.88,0.01,0.01,4.42,2020
229,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,1.81,2.43,0.01,0.01,4.26,2007
230,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,0.01,0.42,0.01,0.01,0.45,2016
231,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,0.01,0.31,0.01,0.01,0.34,2021
232,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.81,0.95,0.01,0.18,3.9499999999999997,2015
233,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,0.01,0.04,0.01,0.74,0.8,2016
234,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,0.01,1.95,0.01,0.01,1.98,2017
235,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,0.01,0.01,0.01,0.01,0.04,2018
236,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,1.78,0.33,1.78,0.01,3.8999999999999995,2000
237,Pac-Man,2600,1982,Puzzle,Atari,5.16,0.01,0.01,0.01,5.1899999999999995,2001
238,Pac-Man,2600,1982,Puzzle,Atari,1.46,0.01,0.01,0.01,1.49,2011
239,Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,0.83,0.79,2.01,0.01,3.6399999999999997,2011
240,Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,0.71,0.01,0.01,0.01,0.74,2021
241,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,0.21,0.2,0.01,0.82,1.24,2005
